
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-06-15 23:59:11 /api/ws-token .............................. ~ 500.29ms
  2025-06-15 23:59:11 /api/ws-token ................................ ~ 0.59ms
  2025-06-15 23:59:13 /api/ws-token .............................. ~ 500.54ms
  2025-06-15 23:59:13 /api/ws-token .............................. ~ 501.35ms
  2025-06-15 23:59:21 /api/ws-token ................................ ~ 0.07ms
  2025-06-15 23:59:21 /api/ws-token ................................ ~ 0.02ms
  2025-06-15 23:59:36 /api/user/profile ............................ ~ 0.19ms
  2025-06-15 23:59:36 /api/user/profile ............................ ~ 0.65ms
  2025-06-15 23:59:40 /api/user/profile ............................ ~ 0.07ms
  2025-06-15 23:59:40 /api/ws-token ................................ ~ 0.23ms
  2025-06-15 23:59:40 /api/user/profile ............................ ~ 0.33ms
  2025-06-15 23:59:40 /api/ws-token ................................ ~ 0.48ms
  2025-06-15 23:59:40 /api/conversations ........................... ~ 0.16ms
  2025-06-15 23:59:40 /api/conversations ......................... ~ 500.70ms
  2025-06-15 23:59:45 /api/user/profile ............................ ~ 0.08ms
  2025-06-15 23:59:45 /api/user/profile ............................ ~ 0.27ms
  2025-06-15 23:59:45 /api/profile/sections ........................ ~ 0.30ms
  2025-06-15 23:59:45 /api/profile/sections ........................ ~ 0.93ms
  2025-06-15 23:59:57 /api/user/profile ............................ ~ 0.09ms
  2025-06-15 23:59:57 /api/user/profile ............................ ~ 0.23ms
  2025-06-15 23:59:57 /api/profile/sections ........................ ~ 0.02ms
  2025-06-15 23:59:57 /api/profile/sections ........................ ~ 0.12ms
  2025-06-15 23:59:58 /api/user/profile ............................ ~ 0.08ms
  2025-06-15 23:59:58 /api/ws-token ................................ ~ 0.26ms
  2025-06-15 23:59:58 /api/user/profile ............................ ~ 0.38ms
  2025-06-15 23:59:58 /api/ws-token .............................. ~ 500.76ms
  2025-06-15 23:59:58 /api/conversations ........................... ~ 0.30ms
  2025-06-15 23:59:58 /api/conversations ........................... ~ 0.48ms
  2025-06-15 23:59:59 /api/user/profile ............................ ~ 0.08ms
  2025-06-15 23:59:59 /api/user/profile ............................ ~ 0.26ms
  2025-06-16 00:00:00 /api/ws-token ................................ ~ 0.09ms
  2025-06-16 00:00:00 /api/ws-token ................................ ~ 0.27ms
  2025-06-16 00:00:00 /api/user/profile ............................ ~ 0.46ms
  2025-06-16 00:00:00 /api/user/profile ............................ ~ 0.39ms
  2025-06-16 00:00:00 /api/ws-token ................................ ~ 0.06ms
  2025-06-16 00:00:00 /api/conversations ........................... ~ 0.26ms
  2025-06-16 00:00:00 /api/conversations ......................... ~ 500.70ms
  2025-06-16 00:00:00 /api/ws-token .............................. ~ 500.90ms
  2025-06-16 00:00:01 /api/user/profile ............................ ~ 0.12ms
  2025-06-16 00:00:01 /api/user/profile ............................ ~ 0.46ms
  2025-06-16 00:00:01 /api/profile/sections ........................ ~ 0.04ms
  2025-06-16 00:00:01 /api/profile/sections ........................ ~ 0.27ms
  2025-06-16 00:00:09 /api/user/profile .......................... ~ 500.32ms
  2025-06-16 00:00:09 /api/user/profile .......................... ~ 500.53ms
  2025-06-16 00:00:09 /api/profile/sections ........................ ~ 0.05ms
  2025-06-16 00:00:09 /api/profile/sections ........................ ~ 0.25ms
  2025-06-16 00:00:10 /api/user/profile ............................ ~ 0.10ms
  2025-06-16 00:00:10 /api/user/profile ............................ ~ 0.04ms
  2025-06-16 00:00:12 /api/ws-token ................................ ~ 0.11ms
  2025-06-16 00:00:12 /api/user/profile ............................ ~ 0.29ms
  2025-06-16 00:00:12 /api/ws-token ................................ ~ 0.41ms
  2025-06-16 00:00:12 /api/user/profile ............................ ~ 0.54ms
  2025-06-16 00:00:12 /api/conversations ........................... ~ 0.03ms
  2025-06-16 00:00:12 /api/ws-token ................................ ~ 0.20ms
  2025-06-16 00:00:12 /api/conversations ........................... ~ 0.35ms
  2025-06-16 00:00:12 /api/ws-token ................................ ~ 0.49ms
  2025-06-16 00:00:12 /api/user/profile .......................... ~ 500.32ms
  2025-06-16 00:00:12 /api/user/profile .......................... ~ 500.52ms
  2025-06-16 00:00:12 /api/profile/sections ........................ ~ 0.03ms
  2025-06-16 00:00:12 /api/profile/sections ........................ ~ 0.14ms
  2025-06-16 00:00:16 /api/user/profile ............................ ~ 0.07ms
  2025-06-16 00:00:16 /api/user/profile ............................ ~ 0.21ms
  2025-06-16 00:00:16 /api/profile/sections ........................ ~ 0.02ms
  2025-06-16 00:00:16 /api/profile/sections ........................ ~ 0.19ms
  2025-06-16 00:00:16 /api/user/profile ............................ ~ 0.10ms
  2025-06-16 00:00:16 /api/user/profile ............................ ~ 0.33ms
  2025-06-16 00:00:16 /api/ws-token ................................ ~ 0.57ms
  2025-06-16 00:00:16 /api/conversations ........................... ~ 0.27ms
  2025-06-16 00:00:16 /api/conversations ........................... ~ 0.22ms
  2025-06-16 00:00:16 /api/ws-token ................................ ~ 1.21ms
  2025-06-16 00:00:17 /api/user/profile ............................ ~ 0.08ms
  2025-06-16 00:00:17 /api/user/profile ............................ ~ 0.30ms
  2025-06-16 00:00:18 /api/ws-token ................................ ~ 0.10ms
  2025-06-16 00:00:18 /api/user/profile .......................... ~ 500.49ms
  2025-06-16 00:00:18 /api/ws-token .............................. ~ 500.71ms
  2025-06-16 00:00:18 /api/conversations ........................... ~ 0.15ms
  2025-06-16 00:00:18 /api/user/profile .......................... ~ 500.96ms
  2025-06-16 00:00:18 /api/conversations ........................... ~ 0.38ms
  2025-06-16 00:00:19 /api/user/profile ............................ ~ 0.11ms
  2025-06-16 00:00:19 /api/user/profile ............................ ~ 0.34ms
  2025-06-16 00:00:19 /api/profile/sections ........................ ~ 0.03ms
  2025-06-16 00:00:19 /api/profile/sections ........................ ~ 0.20ms
  2025-06-16 00:00:44 /api/ws-token ................................ ~ 0.07ms
  2025-06-16 00:00:44 /api/ws-token ................................ ~ 0.30ms
  2025-06-16 00:00:48 /api/user/profile ............................ ~ 0.07ms
  2025-06-16 00:00:48 /api/user/profile ............................ ~ 0.21ms
  2025-06-16 00:00:48 /api/profile/sections ........................ ~ 0.02ms
  2025-06-16 00:00:48 /api/profile/sections ........................ ~ 0.01ms
  2025-06-16 00:00:48 /api/ws-token ................................ ~ 0.11ms
  2025-06-16 00:00:48 /api/user/profile ............................ ~ 0.39ms
  2025-06-16 00:00:48 /api/ws-token ................................ ~ 0.60ms
  2025-06-16 00:00:48 /api/user/profile ............................ ~ 0.85ms
  2025-06-16 00:00:48 /api/ws-token ................................ ~ 0.05ms
  2025-06-16 00:00:48 /api/ws-token .............................. ~ 500.52ms
  2025-06-16 00:00:48 /api/conversations ......................... ~ 500.85ms
